标题,详情页url,图片url,类型,关键字,星级,作者
"🏆,写一份用于评奖的研究总结报告",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E5%86%99%E4%B8%80%E4%BB%BD%E7%94%A8%E4%BA%8E%E8%AF%84%E5%A5%96%E7%9A%84%E7%A0%94%E7%A9%B6%E6%80%BB%E7%BB%93%E6%8A%A5%E5%91%8A,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F3793d4e1-575f-468e-98ca-2fb212e74a59%2FUntitled.png&w=3840&q=80,文字处理类,"科研,报告,学术",★★★★★,谭淞宸
"🗣️,与老子对话",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E4%B8%8E%E8%80%81%E5%AD%90%E5%AF%B9%E8%AF%9D,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F63e0382b-20a9-4fb1-80d6-0c1d953af900%2FUntitled.png&w=3840&q=80,通用学习类,"思考,思想对话,费曼式学习",★★★★☆,howie.serious
"📸,询问摄影器材相关的知识",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E8%AF%A2%E9%97%AE%E6%91%84%E5%BD%B1%E5%99%A8%E6%9D%90%E7%9B%B8%E5%85%B3%E7%9A%84%E7%9F%A5%E8%AF%86,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F24355679-108a-407e-a6d3-156aacdf9da8%2FUntitled.jpeg&w=3840&q=80,信息获取,"摄影,信息获取",★★★☆☆,谭淞宸
"👨‍💻,how to learn API?",https://gpt.candobear.com//prompt/prompt-1001gptgpt/how-to-learn-api,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fcdd660cd-0de1-4028-942e-9951710cbee4%2FUntitled.jpeg&w=3840&q=80,通用学习类,"主题学习,coding",★★★★★,howie.serious
"🤔,明辨式思维：判断观点的可信度，用ChatGPT告别【我认为我觉得我以为】",https://gpt.candobear.com//prompt/prompt-1001gptgpt/chatgpt,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F2e0ef665-13a1-48ad-b366-880b61998cb1%2FUntitled.png&w=3840&q=80,批判性思维,批判性思维,★★★★★,howie.serious
"🤔,伪概念鉴别器",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E4%BC%AA%E6%A6%82%E5%BF%B5%E9%89%B4%E5%88%AB%E5%99%A8,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fd0418121-daa4-49b8-b88c-b1fed10cbe94%2FUntitled.png&w=3840&q=80,批判性思维,"批判性思维,概念性知识",★★★★★,howie.serious
"🤔,迁移 vs 泛化：比较这两个概念的异同。",https://gpt.candobear.com//prompt/prompt-1001gptgpt/vs,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fd2529605-185d-45d4-8e25-13b0bfbf5e8a%2FUntitled.png&w=3840&q=80,通用学习类,"概念性知识,费曼学习法",★★★★★,howie.serious
"✍️,公文写作，现代八股文",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E5%85%AC%E6%96%87%E5%86%99%E4%BD%9C%E7%8E%B0%E4%BB%A3%E5%85%AB%E8%82%A1%E6%96%87,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F96474696-46fa-4ac1-bda5-f45102201d90%2FUntitled.png&w=3840&q=80,写作类,写作,★★★★★,-
"✍️,写工作汇报、检讨书、道歉信",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E5%86%99%E5%B7%A5%E4%BD%9C%E6%B1%87%E6%8A%A5%E6%A3%80%E8%AE%A8%E4%B9%A6%E9%81%93%E6%AD%89%E4%BF%A1,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fa9553108-f287-446e-84d9-d9472fc68d8a%2FUntitled.jpeg&w=3840&q=80,职场小作文,"作文,职场小作文",★★☆☆☆,howie.serious
"✍️,老板布置的工作生活感悟作文",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E8%80%81%E6%9D%BF%E5%B8%83%E7%BD%AE%E7%9A%84%E5%B7%A5%E4%BD%9C%E7%94%9F%E6%B4%BB%E6%84%9F%E6%82%9F%E4%BD%9C%E6%96%87,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fa75da02a-3b58-41ef-8baf-d05e1cd87087%2FUntitled.jpeg&w=3840&q=80,职场小作文,职场小作文,★★☆☆☆,howie.serious
